Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-onc.ig.json	54812	-	0	0	0	0	0	0	14	167	0	0	0	0	1	0	0	1	0	0	149	208	0	0	0	0	7	0	1
fsh-generated/resources/CodeSystem-onc-monk-scale.json	1111	3	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	8	30	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-onc-observation-codes.json	19810	5	0	0	1	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	58	71	0	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-onc-problem-type.json	999	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	23	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-onc-to-nanda.json	1500	1	0	0	0	0	0	0	0	595	0	0	0	0	1	0	0	0	0	0	7	22	0	0	0	0	0	0	0
fsh-generated/resources/Condition-ExampleNursingNeed-Dressing.json	883	1	0	0	0	0	0	0	1	53	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/Condition-example-nursing-problem.json	896	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0
fsh-generated/resources/Goal-example-patient-goal.json	919	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleDressingAssessment.json	854	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleNursingStrength-Motivation.json	806	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSkinAssessment.json	895	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-4at-delirium.json	2749	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-abbey-pain.json	2345	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-abc-chart.json	1768	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-acvpu.json	978	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-bladder-assessment.json	857	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-blood-pressure.json	1396	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-bowel-assessment.json	840	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-bristol-stool.json	839	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-catheter-care.json	836	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	72	4	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-clinical-frailty.json	1096	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-continence-assessment.json	870	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0
fsh-generated/resources/Observation-example-dietary-requirements.json	842	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0
